Unnamed: 0,cik,company,label,ticker,gurufocus-company-name,gurufocus-stockid,filing_date,difference_in_months
0,1800,ABBOTT LABORATORIES,False,ABT,Abbott Laboratories,US066X,2021-02-19,34
1,2488,ADVANCED MICRO DEVICES INC,False,AMD,Advanced Micro Devices Inc,US022E,2021-01-29,35
2,2491,"BALLY TECHNOLOGIES, INC.",False,BYI,Bally Technologies Inc  (Delisted),US06R5,2014-08-29,-2
4,2969,AIR PRODUCTS & CHEMICALS INC /DE/,False,APD,Air Products & Chemicals Inc,US06DU,2021-11-18,22
5,3153,ALABAMA POWER CO,False,ALPpQ.PFD,Alabama Power Co  (Delisted),US0TUZ,2021-02-18,10
6,3197,CECO ENVIRONMENTAL CORP,False,CECO,CECO Environmental Corp,US02K6,2021-03-03,33
7,3370,IKON OFFICE SOLUTIONS INC,False,IKN,Ikon Office Solutions Inc  (Delisted),US07ZK,2007-11-29,-2
8,3449,ALEXANDER & ALEXANDER SERVICES INC,False,AAL,Alexander & Alexander  (Delisted),US066A,1996-03-29,-3
9,3453,"MATSON, INC.",False,MATX,Matson Inc,US08CS,2021-02-26,34
10,3545,"ALICO, INC.",False,ALCO,Alico Inc,US0212,2021-12-07,21
11,3570,"CHENIERE ENERGY, INC.",False,LNG,Cheniere Energy Inc,US00B1,2021-02-24,34
12,3673,"ALLEGHENY ENERGY, INC",False,AYE,Allegheny Energy Inc  (Delisted),US06I3,2011-02-23,-2
13,3906,ALLIED CAPITAL CORP,False,ALD,Allied Capital Corporation  (Delisted),US06BI,2010-02-26,-2
14,3941,ALLIED PRODUCTS CORP /DE/,True,ADPC,Allied Products Corp  (Delisted),US0BCF,2000-04-14,-4
16,3982,ALLIS CHALMERS ENERGY INC.,False,ALY,Allis Chalmers Energy Inc  (Delisted),US06C9,2011-03-15,-3
17,4127,"SKYWORKS SOLUTIONS, INC.",False,SWKS,Skyworks Solutions Inc,US05JM,2021-11-24,22
18,4281,HOWMET AEROSPACE INC.,False,HWM,Howmet Aerospace Inc,US0SWN,2021-02-16,34
19,4285,ALCAN INC,False,AL,Alcan Inc  (Delisted),CA0027,2006-03-09,9
20,4310,ALZA CORP,False,AZA,Alza Corp  (Delisted),US06I7,2001-03-29,-3
21,4447,HESS CORP,False,HES,Hess Corp,US07TL,2021-03-01,33
22,4904,AMERICAN ELECTRIC POWER CO INC,False,AEP,American Electric Power Co Inc,US068I,2021-02-25,34
23,4962,AMERICAN EXPRESS CO,False,AXP,American Express Co,US06HT,2021-02-12,34
24,4977,AFLAC INC,False,AFL,Aflac Inc,US068U,2021-02-23,34
25,5103,AMERICAN GENERAL CORP /TX/,False,AGC,American General Corp  (Delisted),US0697,2001-03-28,-3
26,5133,AMERICAN GREETINGS CORP,False,AM,American Greetings Corp  (Delisted),US06CB,2013-05-09,-2
27,5187,WYETH,False,WYE,Wyeth  (Delisted),US0A5B,2009-02-27,-2
28,5272,"AMERICAN INTERNATIONAL GROUP, INC.",False,AIG,American International Group Inc,US06AN,2021-02-19,34
29,5513,UNUM GROUP,False,UNM,Unum Group,US09XD,2021-02-17,34
30,5588,AMERICAN PAD & PAPER CO,False,APPPQ,American Pad & Paper Co  (Delisted),US0A9H,2000-04-14,-4
31,5768,"AMERICAN SCIENCE & ENGINEERING, INC.",False,ASEI,American Science & Engineering Inc  (Delisted),US026P,2013-06-07,33
32,5981,AMERICAN VANGUARD CORP,False,AVD,American Vanguard Corp,US06GS,2021-03-31,33
33,6071,AMES DEPARTMENT STORES INC,False,AMESQ,Ames Department Stores  (Delisted),US0BTD,2002-05-03,-4
34,6201,AMERICAN AIRLINES GROUP INC.,False,AAL,American Airlines Group Inc,US01W6,2021-02-17,34
37,6281,ANALOG DEVICES INC,False,ADI,Analog Devices Inc,US01YL,2021-12-03,22
38,6284,ANALOGIC CORP,False,ALOG,Analogic Corp  (Delisted),US021N,2017-09-26,-2
39,6571,ANGELICA CORP /NEW/,False,AGL,Angelica Corp  (Delisted),US069E,2006-04-13,21
40,6720,K2 INC,False,KTO,K2 Inc  (Delisted),US088G,2007-03-16,-3
42,6845,"APOGEE ENTERPRISES, INC.",False,APOG,Apogee Enterprises Inc,US024L,2021-04-22,22
44,6951,APPLIED MATERIALS INC /DE,False,AMAT,Applied Materials Inc,US0224,2021-12-17,22
45,6955,ENERPAC TOOL GROUP CORP,False,EPAC,Enerpac Tool Group Corp,US06GG,2021-10-25,22
46,7032,ARAMARK CORP,False,RMK,ARAMARK Corp  (Delisted),US09C4,2012-12-20,-3
47,7039,TRECORA RESOURCES,False,TREC,Trecora Resources  (Delisted),US09T6,2021-03-09,9
48,7332,SOUTHWESTERN ENERGY CO,False,SWN,Southwestern Energy Co,US09NC,2021-03-01,33
49,7431,ARMSTRONG WORLD INDUSTRIES INC,False,AWI,Armstrong World Industries Inc,US06HD,2021-02-23,34
50,7536,ARROW ELECTRONICS INC,False,ARW,Arrow Electronics Inc,US06FA,2021-02-11,34
51,7649,ASARCO INC,False,AR,Asarco Inc  (Delisted),US06E6,1999-03-16,-3
53,8063,ASTRONICS CORP,False,ATRO,Astronics Corp,US0285,2021-03-01,33
54,8177,ATLANTIC AMERICAN CORP,False,AAME,Atlantic American Corp,US01W8,2021-03-23,33
55,8411,ATWOOD OCEANICS INC,False,ATW,Atwood Oceanics Inc  (Delisted),US06GI,2016-11-15,-2
56,8670,AUTOMATIC DATA PROCESSING INC,False,ADP,Automatic Data Processing Inc,US01YS,2021-08-04,22
58,8858,AVNET INC,False,AVT,Avnet Inc,US06H3,2021-08-13,22
60,8947,AZZ INC,False,AZZ,AZZ Inc,US06IC,2021-04-23,22
61,9092,BADGER METER INC,False,BMI,Badger Meter Inc,US06NK,2021-02-24,34
62,9263,MICHAEL BAKER CORP,False,BKR,Michael Baker Corp  (Delisted),US002K,2013-03-05,-3
63,9326,BALCHEM CORP,False,BCPC,Balchem Corp,US02AT,2021-02-19,34
64,9342,BALDOR ELECTRIC CO,False,BEZ,Baldor Electric Co  (Delisted),US06L6,2010-03-03,-3
