,cik,company
0,2024,ACE HARDWARE CORP
1,2034,ACETO CORP
2,2135,AFFILIATED COMPUTER SERVICES INC
3,2178,"ADAMS RESOURCES & ENERGY, INC."
4,2852,AGWAY INC
5,3000,AIRBORNE INC /DE/
6,3116,AKORN INC
7,3133,AMSOUTH BANCORPORATION
8,3146,SPIRE ALABAMA INC
9,3202,ALASKA AIRLINES INC
10,3499,ALEXANDERS INC
11,3642,ALLCITY INSURANCE CO /NY/
12,3662,SUNBEAM CORP/FL/
13,3721,ALLEN TELECOM INC
14,4164,ALPINE GROUP INC /DE/
15,4427,AMDAHL CORP
16,4457,AMERCO /NV/
17,4507,ORANGE CO INC /FL/
18,4515,"AMERICAN AIRLINES, INC."
19,4611,AMERICAN BILTRITE INC
20,4672,AMERICAN BUSINESS PRODUCTS INC
21,4828,AMERICAN CRYSTAL SUGAR CO /MN/
22,4829,AMERICAN CYANAMID CO
23,4969,AMERICAN EXPRESS CREDIT CORP
24,5172,AMERICAN HERITAGE LIFE INVESTMENT CORP
25,5320,AMVESTORS FINANCIAL CORP
26,5405,AMERICAN MAIZE PRODUCTS CO
27,5850,AMERICAN STANDARD INC
28,6164,AMP INC
29,6176,AMPCO PITTSBURGH CORP
30,6314,ANAREN MICROWAVE INC
31,6885,STAGE STORES INC
32,6948,APPLIED MAGNETICS CORP
33,7084,ARCHER-DANIELS-MIDLAND CO
34,7214,WASHINGTON MUTUAL FINANCE CORP
35,7286,ARIZONA PUBLIC SERVICE CO
36,7314,NORAM ENERGY CORP
37,7383,ARMCO INC
38,7636,ARVIN INDUSTRIES INC
39,7974,ASSOCIATES FIRST CAPITAL CORP
40,8137,ATKINSON GUY F CO OF CALIFORNIA
41,8192,ATLANTIC CITY ELECTRIC CO
42,8462,AUGAT INC
43,8795,AVCO FINANCIAL SERVICES INC
44,8802,AVEMCO CORP
45,8960,BENEFICIAL CORP
46,9435,BALLY ENTERTAINMENT CORP
47,9466,BALTIMORE GAS & ELECTRIC CO
48,9548,BANGOR HYDRO ELECTRIC CO
49,9659,SIGNET BANKING CORP
50,9779,FAIRCHILD CORP
51,9801,BANTA CORP
52,9892,BARD C R INC /NJ/
53,10488,BAY STATE GAS CO /NEW/
54,11107,VERIZON PENNSYLVANIA INC
55,11454,BERGEN BRUNSWIG CORP
56,11544,BERKLEY W R CORP
57,11884,BETZDEARBORN INC
58,11913,BEVERLY BANCORPORATION INC
59,11975,BIC CORP
60,12105,BIG V SUPERMARKETS INC
61,12180,BINKS MANUFACTURING CO
62,12400,BLACK HILLS POWER INC
63,12654,BLOCK DRUG CO INC
64,13021,BBN CORP
65,13239,HEXION INC.
66,13372,NSTAR ELECTRIC CO
67,13390,BOSTON GAS CO
68,14073,BRESLER & REINER INC
69,14195,BRIGGS & STRATTON CORP
70,14272,BRISTOL MYERS SQUIBB CO
71,14280,MARKETING SERVICES GROUP INC
72,14407,EASTERN EDISON CO
73,14693,BROWN FORMAN CORP
74,14803,BROWN TOM INC /DE
75,14827,BROWNING FERRIS INDUSTRIES INC
76,14920,BRUNOS INC
77,15511,BNSF RAILWAY CO
78,15840,BUTLER MANUFACTURING CO
79,16099,LUBYS INC
80,16104,CAGLES INC
